planet_name,star_name,planets_in_system,orbital_period,semi_major_axis,radius_earths,mass_earths,radius_jupiters,mass_jupiters,density,equilibrium_temperature,ra,dec_
CoRoT-21 b,CoRoT-21,1,2.72474,0.0417,14.5717,718.2958,1.3,2.26,1.36,2044.44,101.0526207,-0.2991544
HD 20003 c,HD 20003,2,33.9239,0.1964,3.89,14.44,0.347,0.0454,1.35,573.89,46.9090081,-72.3219221
Kepler-716 b,Kepler-716,2,10.37168453,0.08628,2.9,8.75,0.25872067,0.0275,1.97,720.0,290.3931809,43.3638577
TOI-4034 b,TOI-4034,1,1.8020932,0.03289,17.71018951,276.51071409,1.58,0.87,0.275,1907.0,335.1469845,71.7673462
Kepler-101 b,Kepler-101,2,3.4876812,0.0474,5.77,51.1,0.51,0.16,1.45,1513.0,283.255507,48.3552474
HAT-P-4 b,HAT-P-4,1,3.056536,0.04438,14.28,213.255,1.274,0.671,0.403,1686.0,229.99122,36.229545
Kepler-619 d,Kepler-619,3,11.67894236,0.1021,4.17,16.2,0.37202312,0.051,1.23,830.0,290.8490899,48.4159782
Kepler-411 c,Kepler-411,4,7.834435,0.0739,4.421,26.4,0.3944152,0.08306327,1.7,838.0,287.6057027,49.5233937
Kepler-1601 b,Kepler-1601,1,2.20921951,0.03281,0.82,0.477,0.0731555,0.0015,4.75,1507.0,285.5129496,38.079839
HD 134606 b,HD 134606,5,12.089,0.1046,2.97,9.09,0.265,0.02860034,1.91,894.63,228.8103897,-70.5203328
K2-66 b,K2-66,1,5.06963,0.05983,2.49,21.3,0.22214292,0.06701696,7.8,1372.0,331.5266563,-10.7115362
TOI-1691 b,TOI-1691,1,16.736888935,0.129365,3.66,14.6,0.32652389,0.04593674,1.76,703.49,272.4041179,86.860343
K2-230 b,K2-230,1,2.86041,0.0409,1.96,4.5,0.17485949,0.0142,3.28,1529.0,191.363117,-6.576051
HD 20003 b,HD 20003,2,11.8482,0.0974,3.43,11.66,0.306,0.0367,1.59,814.93,46.9090081,-72.3219221
Kepler-1026 b,Kepler-1026,1,36.5156053,0.1977,2.21,5.52,0.19716299,0.0174,2.81,425.0,283.6053012,39.9979286
Kepler-445 b,Kepler-445,3,2.984151,0.0217,1.58,3.12,0.14,0.00982,4.35,401.0,298.7363395,46.4991236
K2-117 b,K2-117,2,1.2916,0.0189,2.03,4.78,0.18110447,0.015,3.14,868.0,133.8557342,10.4692176
Kepler-138 d,Kepler-138,4,23.0923,0.1288,1.51,2.1,0.13471341,0.00660734,3.6,345.0,290.3814122,43.2930645
Kepler-540 b,Kepler-540,1,172.7049784,0.58822,2.71,7.8,0.24177001,0.0245,2.15,355.0,290.6249953,44.8737757
Kepler-33 c,Kepler-33,5,13.17562,0.1189,3.2,0.39,0.285,0.00122707,0.13,1009.0,289.0775348,46.0051696
KELT-10 b,KELT-10,1,4.1662739,0.0525,15.681391,215.80657,1.399,0.679,0.308,1377.0,284.5483823,-47.0033072
