star_name,star_temperature,star_radius,star_mass,star_surface_gravity
Kepler-290,5142.0,0.755,0.84,4.602
HD 34445,5836.0,1.38,1.07,4.21
Kepler-384,5577.0,0.882,0.882,4.475
HD 120084,4879.0,10.37,2.16,2.74
Kepler-191,5282.0,0.789,0.857,4.594
GJ 680,3563.0,0.45933,0.456,4.77323
Kepler-917,5418.0,0.76,0.8,4.58
TOI-1224,3326.0,0.404,0.4,4.893
TOI-1422,5840.0,1.019,0.9903,4.412
Kepler-980,5935.0,1.06,1.05,4.41
HATS-59,5670.0,1.036,1.038,4.422
HD 73267,5387.0,0.909,0.93,4.447
Kepler-580,4298.0,0.64,0.67,4.66
HD 152843,6310.0,1.43,1.15,4.19
HD 217786,5966.0,1.27,1.14,4.35
HR 8799,7204.58,1.49338,1.5,4.29656
TOI-4342,3866.0,0.598,0.587,4.652
Kepler-193,6335.0,1.147,1.051,4.403
K2-269,6209.0,1.45,1.16,4.18
KOI-12,6635.0,1.4,1.5,4.308
Kepler-1773,6183.0,1.3,1.241,4.301
NGTS-16,5550.0,1.213,1.002,4.35
Kepler-637,6096.0,2.56,1.64,3.84
HD 113337,6774.0,1.5,1.41,4.21
K2-30,5425.0,0.844,0.9,4.54
Kepler-1675,5853.19,1.12865,1.06,4.35826
Kepler-1788,4786.0,0.704,0.686,4.579
Kepler-497,5834.0,1.11,1.09,4.39
Kepler-179,5302.0,0.759,0.893,4.613
HD 87646,5770.0,1.55,1.12,4.1
Kepler-139,5622.0,1.045,1.078,4.34518
HD 29985,4678.0,0.574666,0.75,4.7943
Kepler-668,5352.0,0.82,0.87,4.55
Kepler-56,4819.44,4.21799,1.29,3.31
Kepler-205,4321.0,0.546,0.592,4.735
Kepler-1156,5778.0,1.0,1.0,4.44
HR 858,6354.0,1.258,1.204,4.3
Kepler-989,5074.0,0.78,0.82,4.58
HD 165155,5426.0,0.95,1.02,4.49
HD 22946,6169.0,1.117,1.098,4.47
HD 13908,6255.0,1.67,1.29,4.11
Kepler-1446,4865.0,0.75,0.81,4.6
Kepler-1697,4681.53,0.772344,0.747,4.53577
HD 11112,5905.64,1.47368,1.07,4.13064
Kepler-674,4192.0,0.57,0.6,4.69
Kepler-1269,5998.0,1.15,1.1,4.36
Kepler-1576,5876.0,1.06,1.05,4.4
Kepler-1796,6036.0,0.949,1.018,4.491
Kepler-972,6146.0,1.22,1.15,4.33
Kepler-1508,6158.0,1.22,1.14,4.32
Kepler-293,5804.0,0.957,0.934,4.504
AF Lep,6140.0,1.25,1.218,4.4
Kepler-873,6163.0,1.27,1.18,4.29
Kepler-669,6038.0,1.2,1.15,4.34
Kepler-783,5521.0,0.89,0.93,4.51
Kepler-142,5790.0,1.269,0.978,4.262
Kepler-1297,5818.0,0.99,0.99,4.45
HD 126525,5638.0,0.979,0.897,4.382
Kepler-319,5526.0,0.903,0.933,4.487
Kepler-1427,5793.0,1.01,1.01,4.44
Kepler-1959,5071.0,0.811,0.768,4.505
HD 109271,5783.0,1.294595,1.047,4.28
HD 158996,4069.0,50.3,1.8,1.4
Kepler-1264,5791.0,0.98,0.99,4.45
HD 100777,5533.0,1.04,1.08,4.32
Kepler-553,5191.0,0.902,0.889,4.48
HD 31527,5898.0,1.073694,0.96,4.45
K2-44,5912.0,1.58,1.15,4.101
Kepler-1955,5825.0,1.291,1.049,4.237
Kepler-537,5763.0,0.99,1.07,4.47
HD 217786,5966.0,1.27,1.14,4.35
Kepler-1968,5008.0,0.788,0.844,4.572
Kepler-322,5388.0,0.89,0.908,4.501
OGLE-TR-132,6210.0,1.32,1.305,4.313
Kepler-1684,4706.54,0.666755,0.75,4.6652
HATS-66,6626.0,1.841,1.411,4.057
Kepler-171,5642.0,0.839,0.978,4.566
Kepler-1021,5431.0,0.86,0.89,4.53
Kepler-1399,5735.0,0.96,0.97,4.47
K2-319,5440.0,0.898,0.954,4.512
Kepler-414,5536.0,0.946,0.89,4.47
HD 210193,5790.0,1.05971,1.04,4.43481
Kepler-1952,5973.0,1.305,0.922,4.171
HD 34445,5836.0,1.38,1.07,4.21
V0391 Peg,29300.0,0.23,0.5,5.4
Kepler-1633,6256.0,1.32,1.2,4.27
Kepler-242,5020.0,0.85,0.748,4.492
Qatar-5,5747.0,1.076,1.128,4.427
K2-132,4840.0,3.85,1.08,3.297
Kepler-399,5502.0,0.68,0.902,4.62
KELT-15,6003.0,1.78,2.06,4.17
Kepler-1130,5403.0,0.81,0.9,4.57
K2-290,6302.0,1.511,1.194,4.23
Kepler-1367,4106.0,0.6,0.62,4.68
DMPP-2,6500.0,1.78,1.41,4.1
Kepler-1716,4894.0,0.684,0.753,4.637
TOI-1716,5879.0,1.24,1.07,4.28
Kepler-1038,5159.0,0.821,0.868,4.548
HD 109271,5783.0,1.294595,1.047,4.28
HATS-41,6424.0,1.71,1.496,4.14
HD 45350,5566.0,1.26442,0.98,4.22551
Kepler-682,5559.0,0.89,0.92,4.51
HATS-77,4071.0,0.6428,0.655,4.638
WASP-142,6010.0,1.64,1.33,4.13
Kepler-597,5683.0,0.95,0.97,4.47
HD 29021,5560.0,0.85,0.86,4.44
GJ 682,3028.0,0.298255,0.27,4.92764
HD 168443,5491.0,1.711479,0.98,3.987745
WASP-53,4953.0,0.798,0.839,4.553
Kepler-1857,6074.0,1.005,0.873,4.375
Kepler-342,6175.0,1.472,1.213,4.187
Kepler-1251,5545.0,0.89,0.92,4.51
TOI-5624,5327.0,0.82,0.858,4.49
Kepler-242,5020.0,0.85,0.748,4.492
TOI-220,5298.0,0.858,0.825,4.37
Kepler-374,5977.0,0.911,1.033,4.479
Kepler-1870,5508.0,0.84,0.955,4.569
Kepler-258,4942.0,0.915,0.82,4.441
WASP-8,5600.0,1.03,1.34,4.5
Kepler-1339,5586.0,0.93,0.94,4.47
HD 106252,5874.0,1.05,1.05,4.36
HD 102956,4985.0,4.55,1.66,3.38
K2-128,4469.51,0.777569,0.711248,4.7
Kepler-244,5554.0,0.803,0.933,4.585
TOI-4087,6060.0,1.112,1.178,4.416
HAT-P-66,6002.0,1.881,1.255,3.993
DMPP-9,6092.0,1.26,1.1,4.2613
HIP 56998,4675.0,0.63,0.653,4.654
Kepler-1292,5556.0,0.93,0.95,4.49
Kepler-1906,5868.0,0.894,0.987,4.53
GJ 876,3293.74,0.3,0.32,4.87177
TOI-1052,6146.0,1.264,1.204,4.3
HAT-P-29,6087.0,1.3,1.45,4.34
YZ Cet,3151.0,0.157,0.142,5.17
Kepler-434,5977.0,1.38,1.198,4.242
HD 11755,4312.0,20.58,0.72,1.67
Kepler-1471,5660.0,0.93,0.95,4.48
HD 128717,6210.0,1.248,1.212,4.329
HAT-P-46,6120.0,1.396,1.284,4.25
TOI-1244,4599.0,0.721,0.73,4.595
HD 39855,5576.0,0.744665,0.87,4.66464
BD-11 4672,4550.0,0.639,0.651,4.642
Kepler-1442,6394.0,1.44,1.34,4.25
Kepler-292,5299.0,0.826,0.865,4.536
HD 47186,5657.0,1.08,0.96,4.36
Kepler-692,5440.0,0.86,0.9,4.53
Kepler-1193,5908.0,1.21,1.08,4.31
HD 75784,4867.0,3.4,1.26,3.46
Kepler-838,5770.0,0.96,0.98,4.46
81 Cet,4734.0,11.21,1.23,2.41
Kepler-1058,4644.0,0.69,0.73,4.63
TOI-4214,6370.0,1.434,1.382,4.266
Kepler-391,5038.0,2.879,1.27,3.62
Kepler-698,5612.0,0.91,0.94,4.5
TOI-3877,5731.0,1.445,1.16,4.181
Kepler-409,5421.0,0.897,0.913,4.5
Kepler-273,5626.0,0.815,0.756,4.514
Kepler-636,5203.0,0.8,0.85,4.56
Kepler-1914,5982.0,0.96,1.047,4.493
HD 200964,4982.0,4.92,1.39,3.22
